accounts,num_of_ions,num_of_votes
cosmos146kwpzhmleafmhtaxulfptyhnvwxzlvmz2rmlg,8,9
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,9,10
cosmos1ey69r37gfxvxg62sh4r0ktpuc46pzjrmz29g45,21,18
cosmos10e4vsut6suau8tk9m6dnrm0slgd6npe3hjqndl,17,15
cosmos1yvvkkmzh8zs4z4v7gzn0ux8ag0me79ec3n4ma8,3,1
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,10,11
cosmos1eez6ks7upkjf8w3eaz0vah7x3d8zkade206xa6,3,2
cosmos1wauge4px27c257nfn4k3329wteddqw7g4980k0,2,3
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,14,15
cosmos1tpxs9gf9gg74mdu7ya4gxhr5560jsxnpsk5sjk,2,3
cosmos19kwwdw0j64xhrmgkz49l0lmu5uyujjayrfzmuq,11,12
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,5,6
cosmos12f7uaaahnsqq4jqra2q2h0pz7eyjvvuxf3zgjt,1,2
cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,13,14
cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,5,6
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,18,19
cosmos1wwspfe7whh3zu4ql5rvpg044lyk6cuu7v48cf2,3,1
cosmos19j2hd230c3hw6ds843yu8akc0xgvdvyu83c6xl,23,24
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,15,16
cosmos1crqm3598z6qmyn2kkcl9dz7uqs4qdqnrlyn8pq,2,6
cosmos1cql9ska0xl2rkg6gcv0np4333gn6fygs3qf90r,3,1
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,4,13
cosmos124maqmcqv8tquy764ktz7cu0gxnzfw54k9cmz5,10,15
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,14,15
cosmos1vzj0lluc43k64gagvy9wsygh33dk84h07a3rsu,6,4
cosmos1wtv0kp6ydt03edd8kyr5arr4f3yc52vp5g7na0,27,26
cosmos1x88j7vp2xnw3zec8ur3g4waxycyz7m0mcreeaj,10,11
cosmos1ssm0d433seakyak8kcf93yefhknjleed4psy4g,9,10
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,16,17
